course,DFWINC,daysregb4classstart,numaddlcourses,YearsofCollege,is_repeating_course,workingfulltime
MIS100,0,16,3,1,0,0
MIS100,0,14,3,2,0,0
MIS100,0,77,3,2,0,0
MIS100,0,90,5,2,0,0
MIS100,0,90,5,2,0,0
MIS100,0,90,5,2,0,0
MIS100,0,366,5,2,0,0
MIS100,0,249,5,2,0,0
MIS100,0,10,1,2,0,0
MIS100,0,22,2,2,0,0
MIS100,0,91,2,2,0,0
MIS100,0,23,2,2,0,0
MIS100,0,11,2,2,0,0
MIS100,0,3,2,2,0,0
MIS100,0,13,2,2,0,0
MIS100,0,108,2,2,0,0
MIS100,0,91,2,2,0,0
MIS100,0,37,2,2,0,0
MIS100,0,21,2,2,0,0
MIS100,0,106,2,2,0,0
MIS100,0,30,2,2,0,0
MIS100,0,30,2,2,0,0
MIS100,0,79,3,2,0,0
MIS100,0,21,3,2,0,0
MIS100,0,35,3,2,0,0
MIS100,0,78,5,2,0,0
MIS100,0,31,5,2,0,0
MIS100,0,78,5,2,0,0
MIS100,0,78,5,2,0,0
MIS100,0,44,5,1,0,0
MIS100,0,34,5,2,0,0
MIS100,0,87,5,2,0,0
MIS100,0,11,6,3,0,0
MIS100,0,115,7,2,0,0
MIS100,0,86,7,2,0,0
MIS100,0,41,7,2,0,0
MIS100,0,32,9,2,0,0
MIS100,0,34,5,2,0,0
MIS100,0,34,5,2,0,0
MIS100,0,44,3,2,0,0
MIS100,0,304,4,2,0,0
MIS100,0,117,4,3,0,0
MIS100,0,70,4,2,0,0
MIS100,0,110,5,2,0,0
MIS100,0,33,2,2,0,0
MIS100,0,33,2,2,0,0
MIS100,0,33,2,2,0,0
MIS100,0,0,1,1,0,0
MIS100,0,0,1,2,0,0
MIS100,0,0,1,2,0,0
MIS100,0,0,1,2,0,0
MIS100,0,84,1,2,0,0
MIS100,0,71,1,2,0,0
MIS100,0,16,1,2,0,0
MIS100,0,54,1,2,0,0
MIS100,0,8,1,2,0,0
MIS100,0,36,5,2,0,0
MIS100,0,40,5,2,0,0
MIS100,0,79,6,2,0,0
MIS100,0,32,6,2,0,0
MIS100,0,110,5,2,0,0
MIS100,0,33,5,2,0,0
MIS100,0,53,0,2,0,0
MIS100,0,2,0,2,0,0
MIS100,0,8,4,2,0,0
MIS100,0,12,5,2,0,0
MIS100,0,48,5,2,0,0
MIS100,0,90,5,2,0,0
MIS100,0,34,5,2,0,0
MIS100,0,59,5,2,0,0
MIS100,0,90,5,2,0,0
MIS100,0,116,5,2,0,0
MIS100,0,31,5,2,0,0
MIS100,0,48,5,2,0,0
MIS100,0,59,5,2,0,0
MIS100,0,12,5,2,0,0
MIS100,0,64,5,2,0,0
MIS100,0,31,7,2,0,0
MIS100,0,59,7,2,0,0
MIS100,0,81,5,2,0,0
MIS100,0,1,0,2,0,0
MIS100,0,34,0,2,0,0
MIS100,0,13,0,2,0,0
MIS100,0,40,0,2,0,0
MIS100,0,1,0,2,0,0
MIS100,0,34,0,2,0,0
MIS100,0,88,1,2,0,0
MIS100,0,9,1,2,0,0
MIS100,0,97,2,2,0,0
MIS100,0,60,2,2,0,0
MIS100,0,100,2,2,0,0
MIS100,0,50,3,2,0,0
MIS100,0,8,3,2,0,0
MIS100,0,34,3,2,0,0
MIS100,0,47,5,2,0,0
MIS100,0,115,5,2,0,0
MIS100,0,91,5,2,0,0
MIS100,0,98,1,2,0,0
MIS100,0,109,1,2,0,0
MIS100,0,0,1,2,0,0
MIS100,0,98,1,2,0,0
MIS100,0,0,1,4,0,0
MIS100,0,9,1,2,0,0
MIS100,0,62,1,2,0,0
